Bus_No,CloudLocation,FileNameNoPath,PrivateId,CreationDate,ArchivedDate,DeletedAt,State,ReturnToLongTerm,FileRestored
4597300,5d7de1c6-6c78-4a63-b1c4-2e6a3cd5e49e,5120683301.wav,9978175e-1aea-423d-897d-8f5e0a469d2f,Tue Jun 11 2019 22:34:39 GMT+0530 (India Standard Time),Thu Jul 11 2019 22:36:40 GMT+0530 (India Standard Time),Invalid Date,6,Sun Oct 06 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,467e8e37-747f-4792-9b5d-29c567185efb,96679790716.wav,af2b7e34-7b0f-4572-82c2-b789d32a006e,Mon Sep 09 2019 01:18:20 GMT+0530 (India Standard Time),Mon Sep 23 2019 01:19:59 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 12 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,a99db830-a94b-41f7-89b4-65cf96f5cfbe,96284289369.wav,67956e01-0898-4acd-8410-1c30675e95c1,Tue Aug 20 2019 20:38:37 GMT+0530 (India Standard Time),Tue Sep 03 2019 20:39:53 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,75aa42d9-0513-4dd9-bf28-557e25934d68,96299093426.wav,bd5db723-1b9d-4a8d-a580-fff921a46259,Wed Aug 21 2019 04:08:57 GMT+0530 (India Standard Time),Wed Sep 04 2019 04:09:53 GMT+0530 (India Standard Time),Invalid Date,6,Sat Sep 28 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,4b8f0eec-273a-4d68-bcd4-c18d3880199f,96435745380.wav,82a55596-90a1-4e10-bbc8-31ed797dd219,Tue Aug 27 2019 03:21:59 GMT+0530 (India Standard Time),Tue Sep 10 2019 03:23:54 GMT+0530 (India Standard Time),Invalid Date,6,Sat Sep 28 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,88a36dab-2bf4-466d-8377-b4fbefc93072,96247864042.wav,cf82565f-7d1a-43ba-acd6-02da95482872,Sat Aug 17 2019 08:45:38 GMT+0530 (India Standard Time),Sat Aug 31 2019 08:47:49 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 05 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,3c2c590f-4115-42d1-804d-2ea124e98fad,96469747573.wav,33aeffbc-ffcb-4bc6-8000-5080843fc821,Wed Aug 28 2019 22:29:54 GMT+0530 (India Standard Time),Wed Sep 11 2019 22:31:55 GMT+0530 (India Standard Time),Invalid Date,6,Mon Oct 07 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,4cc431b3-636f-428b-94ad-cdd7689061e0,95914943809.wav,801ebc55-25d5-4a93-b0ea-df9dfd3307eb,Thu Aug 01 2019 06:44:22 GMT+0530 (India Standard Time),Thu Aug 15 2019 06:45:46 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 05 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,a564274a-845b-45a2-8da7-479c9002a52a,4933791872.wav,73ac246c-2c7f-4107-916a-d9504e552b31,Thu Nov 08 2018 23:55:02 GMT+0530 (India Standard Time),Fri Feb 08 2019 03:00:09 GMT+0530 (India Standard Time),Invalid Date,6,Tue Oct 08 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,a759553e-f1dc-4a53-81a9-1631a19efb32,96141835778.wav,80a01270-655d-4a84-8a08-96740b7fb07f,Tue Aug 13 2019 03:26:27 GMT+0530 (India Standard Time),Tue Aug 27 2019 03:27:55 GMT+0530 (India Standard Time),Invalid Date,6,Thu Oct 03 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,f0f26e77-52c1-4d1f-a433-58c82f486930,5023314507.wav,f825728b-0229-4673-a152-af2e3e8c5b51,Mon Feb 18 2019 23:59:16 GMT+0530 (India Standard Time),Thu Mar 21 2019 00:00:43 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 05 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,c96a1ad9-1fa8-4b9c-884f-b3e42440cfad,96000263313.wav,74659d06-f847-45f1-a241-6fd3e7422c8d,Tue Aug 06 2019 21:01:46 GMT+0530 (India Standard Time),Tue Aug 20 2019 21:03:52 GMT+0530 (India Standard Time),Invalid Date,6,Fri Sep 20 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,821530f8-4de2-4807-89f0-587e6eb67287,96025510765.wav,186438e8-2fb2-4934-8e5e-5dc77a34b176,Tue Aug 06 2019 23:05:24 GMT+0530 (India Standard Time),Tue Aug 20 2019 23:05:49 GMT+0530 (India Standard Time),Invalid Date,6,Fri Oct 04 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,fb2b4951-96f8-4e1a-8ab9-61b5c0741eb7,96319479043.wav,ef70bb0a-b80e-4d3b-91e8-a67d1e91dd3e,Thu Aug 22 2019 09:10:19 GMT+0530 (India Standard Time),Thu Sep 05 2019 09:11:50 GMT+0530 (India Standard Time),Invalid Date,6,Sat Sep 28 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,17ce8b16-33ac-423c-ba7e-2f8f50890082,95045376621.wav,74e77328-d2e8-4cd1-a81b-e3be27400b61,Tue Jun 18 2019 19:18:50 GMT+0530 (India Standard Time),Tue Jul 16 2019 16:45:43 GMT+0530 (India Standard Time),Invalid Date,6,Sun Sep 29 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,631adc0f-3ba1-4132-9338-a7c0cb991207,95080824161.wav,c915b06e-62a5-4a55-ac6a-2d57f0b36332,Wed Jun 19 2019 21:32:46 GMT+0530 (India Standard Time),Wed Jul 17 2019 02:17:45 GMT+0530 (India Standard Time),Invalid Date,6,Sat Sep 28 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,83524fa3-eb6e-4329-bc12-e654a500c0e1,95102473641.wav,49f4dfe7-814f-4bf2-b51a-93f487c5736b,Fri Jun 21 2019 01:45:49 GMT+0530 (India Standard Time),Wed Jul 17 2019 21:41:44 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,9eb1a45b-a8b0-4bb6-bb5a-950f6b672828,4946822333.wav,e9b58442-9037-4364-8999-63b6b2731515,Fri Nov 23 2018 19:43:11 GMT+0530 (India Standard Time),Fri Feb 08 2019 11:28:20 GMT+0530 (India Standard Time),Invalid Date,6,Tue Oct 01 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,ec00a727-23e6-45a9-94d7-91d6b4f7330b,96436370603.wav,3a3cb5d7-60cf-4688-bb7a-910152b6dac8,Tue Aug 27 2019 21:32:24 GMT+0530 (India Standard Time),Tue Sep 10 2019 21:33:58 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 05 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,815c7131-fbaa-449a-aff1-fbf351a67aba,95315785410.wav,afb03fe9-d314-4447-89b7-580d9a2dedb0,Mon Jul 01 2019 22:09:10 GMT+0530 (India Standard Time),Thu Jul 18 2019 16:33:47 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,b982ef00-d659-4e98-b071-311f2d26c6b7,5059096659.wav,fd44e24d-f4fe-4cdd-a6c4-a3a41a81746c,Thu Apr 04 2019 22:48:18 GMT+0530 (India Standard Time),Sat May 04 2019 22:48:30 GMT+0530 (India Standard Time),Invalid Date,6,Sat Sep 28 2019 05:30:00 GMT+0530 (India Standard Time),
