Bus_No,CloudLocation,FileNameNoPath,PrivateId,CreationDate,ArchivedDate,DeletedAt,State,FileRestored,ReturnToLongTermDate
4597236,dc2e5392-fd71-4296-8c21-10796ac56414,4962149408.wav,be451ea9-a545-48f7-8e18-e49b39b782f9,1544230242000,1562950962393,1566617052915,6,,1570579200000
4597236,6fc7219c-1239-4145-ade9-404bb1ff8f85,4960721309.wav,f8bc097e-6c45-497d-886c-ccb651645e75,1544142550000,1566954952240,,6,,1570579200000
4597236,66a6bbdf-2cd6-479a-9862-5eaa071b16d2,4958453612.wav,0b3d1031-9a3a-4c31-ac8e-1e1b5a4f57f8,1544019140000,1552229077664,1566969375672,6,,1570579200000
4597236,d2a5653f-2f4e-42f0-918e-c4c0a7e7daf8,4920185943.wav,6d138190-f81a-4ade-af5c-90f60b4b45c2,1540378844000,1567519435338,,6,,1570665600000
4597236,c8065cde-fa53-4b7c-ad6f-b5d1bfa584ec,4950966741.wav,ba701ad5-10dd-4659-8884-148a51cd77c5,1543373856000,1565396147278,1567031535806,6,,1568937600000
4597236,ed3bb7ee-d465-4071-9bf1-76ed66816fd7,5093971610.wav,8d385386-2c97-4669-be98-6447d8b7b1c2,1557854445123,1565632190211,1567045818930,6,,1569369600000
4597236,f8633dd6-b702-4a44-823e-ca92d7753867,5073911642.wav,37ba1ee5-868a-4d9f-b909-9d8e94e6350d,1556031436598,1563807583606,1566642377919,6,,1569801600000
4597236,1805260c-e12c-4111-a91d-fe9b2ba20190,4958860852.wav,61de6dea-6ed5-4493-8299-631bdd07d896,1544037648000,1566954714971,,6,,1568937600000
4597236,3615a040-112d-411c-b880-1cd8439baa81,4963946054.wav,4efbe06c-e46a-4179-9b26-d5576051dcfe,1544479444000,1563777824235,1567022413242,6,,1570492800000
4597236,8aa5603b-009f-436b-b84a-7188d8b6ee62,95081198260.wav,e95ff526-0ba0-40f0-a941-e94d14f97a9a,1560976479349,1569979918610,,6,,1570579200000
4597236,bbac7b99-0eac-42d5-bbe8-7b302daf4d8f,4949072925.wav,01af9fcc-98f4-4790-883c-fa39e8fcbbe0,1543258182000,1560806794312,1566595816243,6,,1570665600000
4597236,0b12530c-5cce-438d-9c62-e5c6a565c4ab,4945423851.wav,ab7ed1fe-36bd-410d-aa6a-63466c65e2f3,1542807622000,1563622183093,1567013600362,6,,1570579200000
4597236,731e2c4a-1aa3-4b0f-8006-1c38646e3774,5071208103.wav,9e54b14d-082c-4528-a6ee-9954043e1919,1555631853955,1563409065155,1566870252725,6,,1569801600000
4597236,17cf8003-caa0-4159-8a96-f7bb43b26904,5071437537.wav,3b878ee8-7c10-4d2e-9c03-313699b041ae,1555685438732,1563461623809,1566873852472,6,,1569542400000
4597236,cce0bcae-e7ce-4b4a-ba3b-d36d25325f65,4926507440.wav,6e041c0a-b5b8-42c9-ac0a-67be0a09bbc5,1541002584000,1564019625983,1566638478418,6,,1569456000000
4597236,d094e65d-5abc-40e1-8a04-859364d7c6e2,4958463401.wav,f3b455a2-6d74-4feb-9c2e-a142dd6efc93,1544021510000,1566953748645,,6,,1570492800000
4597236,6cc044d9-a913-40c4-b573-76ed3bbe94aa,5073843169.wav,a07d0228-294b-4383-b4dc-b48c45957154,1556028055342,1563804824338,1567021642864,6,,1569542400000
