Bus_No,CloudLocation,FileNameNoPath,PrivateId,CreationDate,ArchivedDate,DeletedAt,State,ReturnToLongTerm,FileRestored
4596744,12c10d37-5363-496d-b01d-3e80835d823e,44728962968.wav,6701dd4a-fdb7-479f-afe2-6740760cb77a,Mon Feb 11 2019 23:01:02 GMT+0530 (India Standard Time),Fri Apr 12 2019 23:01:49 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,bffc241c-2293-443e-aa49-c4eb9d44ae2b,95570573714.wav,ad7aed93-b474-4662-8093-bea72d901d99,Mon Jul 15 2019 17:06:22 GMT+0530 (India Standard Time),Fri Sep 13 2019 17:07:51 GMT+0530 (India Standard Time),Invalid Date,6,Wed Oct 02 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,a581fcb5-aa1b-461b-bbde-845094eb8943,44728354944.wav,5e95e39c-d268-4fe2-a0c2-125a1520d105,Mon Feb 11 2019 19:09:30 GMT+0530 (India Standard Time),Fri Apr 12 2019 19:11:52 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,96915359-10f4-4987-bcca-0e67093eaed4,44728415345.wav,d14ba335-0e0f-406d-a858-ea712b16767b,Mon Feb 11 2019 19:45:44 GMT+0530 (India Standard Time),Fri Apr 12 2019 19:45:51 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,bd10a052-5f50-4709-b7aa-149b209de150,44750741609.wav,2e0b1d86-e0fd-4e60-bd24-21ecb2ea9188,Tue Feb 12 2019 03:02:35 GMT+0530 (India Standard Time),Sat Apr 13 2019 03:04:47 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,e82fd38b-3690-46bc-ab6a-905261bc4ecb,44728340945.wav,20ecbfb1-a0fa-4a63-930e-6fcfa0a52483,Mon Feb 11 2019 18:49:15 GMT+0530 (India Standard Time),Fri Apr 12 2019 18:50:48 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,ffac0bc6-2c1b-484b-8fa6-f7cc71adacb5,95412984749.wav,4a96311b-8d73-45c1-832f-35f686907a82,Mon Jul 08 2019 18:12:18 GMT+0530 (India Standard Time),Fri Sep 06 2019 18:13:48 GMT+0530 (India Standard Time),Invalid Date,6,Wed Oct 02 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,647210c4-7dbc-474d-820b-b5556a3942c7,95531009517.wav,f2d6641d-4647-4b27-9938-bf7e3199439e,Fri Jul 12 2019 21:33:36 GMT+0530 (India Standard Time),Tue Sep 10 2019 21:45:56 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,bc8cc798-978b-4d85-a46c-f895abbbf11d,44729321296.wav,4fdb78dd-b654-45d3-b48c-8a1059a49662,Tue Feb 12 2019 00:53:14 GMT+0530 (India Standard Time),Sat Apr 13 2019 00:54:47 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,0121851b-932b-4ff9-9a1b-6fbdff70b576,95377128715.wav,b0b40482-b301-4c27-bb10-36b7cbe77fe8,Fri Jul 05 2019 18:36:57 GMT+0530 (India Standard Time),Tue Sep 03 2019 18:37:50 GMT+0530 (India Standard Time),Invalid Date,6,Tue Oct 01 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,e155b999-9bc9-496c-94c4-1b74570f2c5f,95377284959.wav,71d8a2f6-7ff0-4183-af1c-9b17a56ffc0f,Fri Jul 05 2019 19:54:54 GMT+0530 (India Standard Time),Tue Sep 03 2019 19:55:50 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,262685b8-ad4d-4069-abc1-0e7e27481fcb,44750733694.wav,7b9a9a9e-0010-4112-a857-e5453bd940d5,Tue Feb 12 2019 02:59:24 GMT+0530 (India Standard Time),Sat Apr 13 2019 03:00:46 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,565803d8-2e31-4173-ba87-02988a8010cd,95503116434.wav,bb446e4f-e1e3-41f4-8f5e-e7eeda17acbb,Thu Jul 11 2019 22:16:25 GMT+0530 (India Standard Time),Mon Sep 09 2019 22:18:00 GMT+0530 (India Standard Time),Invalid Date,6,Wed Oct 02 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,7f469ffe-4e38-465c-9197-46cca53268cf,95180005026.wav,2b8c5c3e-cfa5-4a07-8a3a-13e73d9a298b,Tue Jun 25 2019 02:15:15 GMT+0530 (India Standard Time),Sat Aug 24 2019 02:15:48 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,d978e628-0492-4ecd-aaaf-eea533498dfd,45596008744.wav,cfd8434d-9d07-4845-b7a5-2d497d929744,Fri Mar 29 2019 21:02:12 GMT+0530 (India Standard Time),Tue May 28 2019 21:02:32 GMT+0530 (India Standard Time),Invalid Date,6,Tue Sep 24 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,08bf2bd1-648e-4061-9159-44d6909ffada,44750595327.wav,d607d1ec-8e97-4a59-aeae-29af8ac08cea,Tue Feb 12 2019 02:12:44 GMT+0530 (India Standard Time),Sat Apr 13 2019 02:13:50 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,35afdac6-f99e-424b-a7cb-31bad7eee836,44728754659.wav,e84c496a-71e4-4a1f-a902-916b55e94972,Mon Feb 11 2019 22:00:05 GMT+0530 (India Standard Time),Fri Apr 12 2019 22:00:47 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,7f055379-41a4-43d5-b087-0345235b8d3c,45788569915.wav,8cb664d7-a95b-49f4-b724-9262864f5dcf,Wed Apr 10 2019 02:07:14 GMT+0530 (India Standard Time),Sun Jun 09 2019 02:08:32 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 05 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,7cf51827-ab5a-46eb-9ff2-bdb5fbd5e2f7,95502519982.wav,a5a67816-a88f-4509-b0e1-a5f1c9862161,Thu Jul 11 2019 19:00:27 GMT+0530 (India Standard Time),Mon Sep 09 2019 19:01:53 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,5666af2f-3a86-4af4-94af-c0f78ebc181d,95276376627.wav,ed523b90-8dd9-46d8-9693-b31015b99ed6,Sat Jun 29 2019 02:34:32 GMT+0530 (India Standard Time),Wed Aug 28 2019 02:35:53 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,aa87ea00-9a18-4d84-9172-e31da6d1b13b,95480915139.wav,c3305876-c564-4b3f-aae9-af7b22a088ad,Wed Jul 10 2019 21:20:17 GMT+0530 (India Standard Time),Sun Sep 08 2019 21:21:55 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,7745800d-79fa-48c0-a31e-bdc4a5fac843,95591598160.wav,c0e6f42e-e78d-4d7a-885b-ac6b493e1ea1,Tue Jul 16 2019 21:54:06 GMT+0530 (India Standard Time),Sat Sep 14 2019 21:55:59 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,39a8dfd1-efbf-45b9-a324-280f6c29d6e4,45368662591.wav,7658cfb8-fa79-4db1-9f17-15fa0575e4cf,Sun Mar 17 2019 22:02:05 GMT+0530 (India Standard Time),Thu May 16 2019 22:02:30 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 23 2019 05:30:00 GMT+0530 (India Standard Time),
